stopwords
DRA
SR
SRA
A
À
ADEUS
AGORA
AÍ
AINDA
ALÉM
ALGO
ALGUMAS
ALGUNS
ALI
ANO
ANOS
ANTES
AO
AOS
APENAS
APOIO
APÓS
AQUELA
AQUELAS
AQUELE
AQUELES
AQUI
AQUILO
ÁREA
AS
ÀS
ASSIM
ATÉ
ATRÁS
ATRAVÉS
BAIXO
BASTANTE
BEM
BOA
BOAS
BOM
BONS
BREVE
CÁ
CADA
CATORZE
CEDO
CENTO
CERTAMENTE
CERTEZA
CIMA
CINCO
COISA
COM
COMO
CONSELHO
CONTRA
CUSTA
DA
DÁ
DÃO
DAQUELA
DAQUELAS
DAQUELE
DAQUELES
DAR
DAS
DE
DEBAIXO
DEMAIS
DENTRO
DEPOIS
DESDE
DESSA
DESSAS
DESSE
DESSES
DESTA
DESTAS
DESTE
DESTES
DEVE
DEVERÁ
DEZ
DEZANOVE
DEZASSEIS
DEZASSETE
DEZOITO
DIA
DIANTE
DIZ
DIZEM
DIZER
DO
DOIS
DOS
DOZE
DUAS
DÚVIDA
E
É
ELA
ELAS
ELE
ELES
EM
EMBORA
ENTRE
ERA
ÉS
ESSA
ESSAS
ESSE
ESSES
ESTA
ESTÁ
ESTÃO
ESTAR
ESTAS
ESTÁS
ESTAVA
ESTE
ESTES
ESTEVE
ESTIVE
ESTIVEMOS
ESTIVERAM
ESTIVESTE
ESTIVESTES
ESTOU
EU
EXEMPLO
FAÇO
FALTA
FAVOR
FAZ
FAZEIS
FAZEM
FAZEMOS
FAZER
FAZES
FEZ
FIM
FINAL
FOI
FOMOS
FOR
FORAM
FORMA
FOSTE
FOSTES
FUI
GERAL
GRANDE
GRANDES
GRUPO
HÁ
HOJE
HORA
HORAS
ISSO
ISTO
JÁ
LÁ
LADO
LOCAL
LOGO
LONGE
LUGAR
MAIOR
MAIORIA
MAIS
MAL
MAS
MÁXIMO
ME
MEIO
MENOR
MENOS
MÊS
MESES
MEU
MEUS
MIL
MINHA
MINHAS
MOMENTO
MUITO
MUITOS
NA
NADA
NÃO
NAQUELA
NAQUELAS
NAQUELE
NAQUELES
NAS
NEM
NENHUMA
NESSA
NESSAS
NESSE
NESSES
NESTA
NESTAS
NESTE
NESTES
NÍVEL
NO
NOITE
NOME
NOS
NÓS
NOSSA
NOSSAS
NOSSO
NOSSOS
NOVA
NOVAS
NOVE
NOVO
NOVOS
NUM
NUMA
NÚMERO
NUNCA
O
OBRA
OBRIGADA
OBRIGADO
OITAVA
OITAVO
OITO
ONDE
ONTEM
ONZE
OS
OU
OUTRA
OUTRAS
OUTRO
OUTROS
PARA
PARECE
PARTE
PARTIR
PAUCAS
PELA
PELAS
PELO
PELOS
PERTO
PODE
PÔDE
PODEM
PODER
PÕE
PÕEM
PONTO
PONTOS
POR
PORQUE
PORQUÊ
POSIÇÃO
POSSÍVEL
POSSIVELMENTE
POSSO
POUCA
POUCO
POUCOS
PRIMEIRA
PRIMEIRAS
PRIMEIRO
PRIMEIROS
PRÓPRIA
PRÓPRIAS
PRÓPRIO
PRÓPRIOS
PRÓXIMA
PRÓXIMAS
PRÓXIMO
PRÓXIMOS
PUDERAM
QUÁIS
QUAL
QUANDO
QUANTO
QUARTA
QUARTO
QUATRO
QUE
QUÊ
QUEM
QUER
QUEREIS
QUEREM
QUEREMAS
QUERES
QUERO
QUESTÃO
QUINTA
QUINTO
QUINZE
RELAÇÃO
SABE
SABEM
SÃO
SE
SEGUNDA
SEGUNDO
SEI
SEIS
SEM
SEMPRE
SER
SERIA
SETE
SÉTIMA
SÉTIMO
SEU
SEUS
SEXTA
SEXTO
SIM
SISTEMA
SOB
SOBRE
SOIS
SOMOS
SOU
SUA
SUAS
TAL
TALVEZ
TAMBÉM
TANTA
TANTAS
TANTO
TÃO
TARDE
TE
TEM
TÊM
TEMOS
TENDES
TENHO
TENS
TER
TERCEIRA
TERCEIRO
TEU
TEUS
TEVE
TIVE
TIVEMOS
TIVERAM
TIVESTE
TIVESTES
TODA
TODAS
TODO
TODOS
TRABALHO
TRÊS
TREZE
TU
TUA
TUAS
TUDO
UM
UMA
UMAS
UNS
VAI
VAIS
VÃO
VÁRIOS
VEM
VÊM
VENS
VER
VEZ
VEZES
VIAGEM
VINDO
VINTE
VOCÊ
VOCÊS
VOS
VÓS
VOSSA
VOSSAS
VOSSO
VOSSOS
ZERO
DR
